OBJECTID,contract date,sub decree date,Name,year of establishment,Inside PA?,PA name,current designation,previous designation,Change des?,Original establishment Year,Area m sq,area ha,Shape_Length,Shape_Area
168, , ,Horizon Agriculture Development,2010,N, , , , ,0,141016399,14101.6399,70353.35894,141016399
169, , ,Sovann Vuthy,2010,Y,Snuol Wildlife Sanctuary,Wildlife Sanctuary,Wildlife Sanctuary,N,1993,50803411.99,5080.341199,47187.11925,50803411.99
170, , ,Yun Khean Minerals,2010,N,Southern Cardamom Mountains National Park,National Park, , ,2016,2889909.551,288.9909551,7800.127109,2889909.551
171, , ,MDS Import Export,2010,Y,Phnom Samkos Wildlife Sanctuary,Wildlife Sanctuary,Wildlife Sanctuary,N,1994,43733451.98,4373.345198,52007.5959,43733451.98
4,9/22/2011,8/16/2011, ,2011,N, , , , ,NA,136140585.8,13614.05858,75925.47133,136140585.8
7,10/24/2011,Not found, ,2011,Y,Keo Seima Wildlife Sanctuary,Wildlife Sanctuary,Protected Forest,Y,2004,106485850.4,10648.58504,44022.87219,106485850.4
8,10/5/2011,5/24/2011, ,2011,N,Boeng Lomkod Proected Landscape,Protected Landscape, , ,2018,118588571.2,11858.85712,58495.71884,118588571.2
10,10/24/2011,Not found, ,2011,Y,Keo Seima Wildlife Sanctuary,Wildlife Sanctuary, , ,2004,107817604,10781.7604,47448.59334,107817604
13,Not found,2/22/2011, ,2011,Y,Dong Peng Multiple Use Area,Multiple Use Management Area, , ,1993,632399.0088,63.23990088,4459.470256,632399.0088
14,Not found,4/1/2011, ,2011,Y,Botum Sakor National Park,National Park,National Park,N,1993,98355169.61,9835.516961,44146.00281,98355169.61
15,Not found,8/16/2011, ,2011,N, , , , ,0,101483973.5,10148.39735,46954.73272,101483973.5
17,Not found,10/28/2011, ,2011,Y,Virachey National Park,National Park, , ,1993,73344515.14,7334.451514,60969.08534,73344515.14
21,Not found,9/7/2011, ,2011,Y,Phnom Prich Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,91348883.93,9134.888393,62600.5713,91348883.93
172, , ,Rithy Granite (Cambodia),2011,Y,Beng Per Wildlife Sanctuary,Wildlife Sanctuary,Wildlife Sanctuary,N,1993,20360263.97,2036.026397,19661.60706,20360263.97
173, , ,Try Pheap Import Export,2011,Y,Virachey National Park,National Park,National Park and ASEAN Heritage Park,Y,1993,95897311.54,9589.731154,50638.41872,95897311.54
174, , ,Try Pheap MDS,2011,Y,Virachey National Park,National Park,National Park and ASEAN Heritage Park,Y,1993,91468036.66,9146.803666,45796.25682,91468036.66
175, , ,K-Peace / Sitthi Agriculture Plantation,2011,Y,Phnom Namlear Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,5222597.894,522.2597894,13588.21066,5222597.894
176, , ,Noupheap Sophy,2011,Y,Virachey National Park,National Park, , ,1993,97803190.72,9780.319072,90435.18418,97803190.72
177, , ,Srun Sovannaphoum Investment,2011,Y,Virachey National Park,National Park,National Park and ASEAN Heritage Park,Y,1993,101672452.8,10167.24528,66738.30012,101672452.8
178, , ,Virtus Green Plantation,2011,Y,Preah Monivong National Park,National Park, , ,1993,71878046.49,7187.804649,63819.0794,71878046.49
179, , ,Dau Thieng - Cambodia,2011,N, , , , ,0,89756103.47,8975.610347,42626.02454,89756103.47
180, , ,Chan Sophea,2011,N, , , , ,0,90101989.08,9010.198908,47016.04221,90101989.08
181, , ,Dau Thieng - Kratie,2011,N, , , , ,0,80008249.74,8000.824974,40336.02388,80008249.74
182, , ,Seladamex,2011,N,Phnom Thnout- Phnom Pok Wildlife Sanctuary,Wildlife Sanctuary, , ,2017,161417836.6,16141.78366,54535.82382,161417836.6
183, , ,Binh Phuoc Kratie Rubber 2,2011,Y,Keo Seima Wildlife Sanctuary,Wildlife Sanctuary, , ,2004,55593807.47,5559.380747,52417.33058,55593807.47
184, , ,Mokod Pich Aphivath,2011,Y,Lomphat Wildlife Sanctuary,Wildlife Sanctuary,Wildlife Sanctuary,N,1993,19727150.75,1972.715075,31849.67636,19727150.75
185, , ,Hoang Anh Andong Meas,2011,Y,Virachey National Park,National Park,National Park and ASEAN Heritage Park,Y,1993,97583952.21,9758.395221,45144.76425,97583952.21
186, , ,Dong Phu,2011,N, , , , ,0,23759156.11,2375.915611,32430.35423,23759156.11
187, , ,Daun Penh Agrico,2011,Y,Lomphat Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,101848714.6,10184.87146,54380.89499,101848714.6
188, , ,Cheat Aphivat,2011,Y,Protected Landscape Banteay Chmar,Protected Landscape,Protected Landscape,N,1993,60546336.16,6054.633616,47478.34745,60546336.16
189, , ,CRCK 2,2011,Y,Beng Per Wildlife Sanctuary,Wildlife Sanctuary,Wildlife Sanctuary,N,1993,21836609.19,2183.660919,20900.16061,21836609.19
190, , ,Bean Heak 2,2011,Y,Beng Per Wildlife Sanctuary,Wildlife Sanctuary,Wildlife Sanctuary,N,1993,55809482.41,5580.948241,30134.02662,55809482.41
191, , ,Kampong Speu Sugar,2011,Y,Phnom Aural Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,48435266.48,4843.526648,44236.48497,48435266.48
192, , ,CRD,2011,N, , , , ,0,119865992.1,11986.59921,102071.5142,119865992.1
193, , ,Veasna Investment,2011,N, , , , ,0,107784156.1,10778.41561,72216.47822,107784156.1
194, , ,Cheang Ly,2011,N, , , , ,0,23319566.71,2331.956671,29596.19562,23319566.71
195, , ,Bokor Sok Kong,2011,Y,Preah Monivong National Park,National Park, , ,1993,173376685.2,17337.66852,145718.9564,173376685.2
196, , ,Villa Development,2011,Y,Phnom Prich Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,8255805.229,825.5805229,15610.85554,8255805.229
197, , ,Suon Mean Sambath,2011,Y,Roniem Daun Sam I Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,40999986.68,4099.998668,31999.99495,40999986.68
198, , ,Reththy Kiri Sakor,2011,Y,Phnom Aural Wildlife Sanctuary,Wildlife Sanctuary,Wildlife Sanctuary,N,1993,15213748.4,1521.37484,17195.35887,15213748.4
199, , ,Ban Ya Group,2011,N, , , , ,0,70764299.29,7076.429929,49144.6087,70764299.29
200, , ,Sovannaphum Viniyok Kase-Usahakam,2011,Y,Beng Per Wildlife Sanctuary,Wildlife Sanctuary,Wildlife Sanctuary,N,1993,99132446.52,9913.244652,39961.9432,99132446.52
201, , ,Try Pheap Import & Export,2011,Y,Beng Per Wildlife Sanctuary,Wildlife Sanctuary,Wildlife Sanctuary,N,1993,99402200.27,9940.220027,52963.54781,99402200.27
202, , ,Jing Zhong Ri,2011,Y,Lomphat Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,94610839.9,9461.08399,51113.34625,94610839.9
203, , ,Dai Nam,2011,Y,Phnom Prich Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,86323736.29,8632.373629,46804.21754,86323736.29
204, , ,Dai Thanh,2011,Y,Phnom Prich Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,85447060.76,8544.706076,48123.74252,85447060.76
205, , ,Tomring Rubber,2011,Y,Kulen Promtep Wildlife Sanctuary,Wildlife Sanctuary,Wildlife Sanctuary,N,1993,77544447.2,7754.44472,39359.55226,77544447.2
206, , ,Data Rubber,2011,Y,Kulen Promtep Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,77059382.69,7705.938269,71910.25295,77059382.69
207, , ,Serey Mony Transportation & Construction,2011,Y,Kulen Promtep Wildlife Sanctuary,Wildlife Sanctuary,Wildlife Sanctuary,N,1993,73947372.3,7394.73723,51742.75729,73947372.3
208, , ,Kim Gia Thuan Group,2011,N, , , , ,0,114730157.3,11473.01573,47348.60977,114730157.3
209, , ,Sino Mexim,2011,Y,Botum Sakor National Park,National Park,National Park,N,1993,42219703.77,4221.970377,44518.63304,42219703.77
