OBJECTID,Join_Count,TARGET_FID,JOIN_FID,Current_name,category,Previous_name,Original_designation,Change_des?,Original_establishment_year,Dataset_area_ha,calculated_area_ha,Province,District,Commune,reference,last_upd_1,language_1,contract_date,sub_decree_date,Name,year_establishment,Inside_PA,PA_name,current_designation,previous designation,Change_des,Original_establishment_Year2,Area_msq,area_ha,Shape_Length_1,Shape_Area_1,Shape_Length,Shape_Area
49,1,13,103,Kulen Promtep Wildlife Sanctuary,Wildlife Sanctuary,Kulen Promtep,Wildlife Sanctuary,N,1993,407070.485,"402,500","Siem Reap, Preah Vihear",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English, , ,Ly Chhuong Construction & Import Export,2012,Y,Kulen Promtep Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,59423962.88,5942.396288,45698.56613,59423962.88,352041.066,4070704851
50,1,13,105,Kulen Promtep Wildlife Sanctuary,Wildlife Sanctuary,Kulen Promtep,Wildlife Sanctuary,N,1993,407070.485,"402,500","Siem Reap, Preah Vihear",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English, , ,Metrei Pheap Kase-Ousahakam,2012,Y,Kulen Promtep Wildlife Sanctuary,Wildlife Sanctuary,Wildlife Sanctuary,N,1993,84289422.9,8428.94229,64323.70672,84289422.9,352041.066,4070704851
51,1,13,106,Kulen Promtep Wildlife Sanctuary,Wildlife Sanctuary,Kulen Promtep,Wildlife Sanctuary,N,1993,407070.485,"402,500","Siem Reap, Preah Vihear",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English, , ,Se Hong Plantation,2012,Y,Kulen Promtep Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,94444675.66,9444.467566,46200.06076,94444675.66,352041.066,4070704851
52,1,13,108,Kulen Promtep Wildlife Sanctuary,Wildlife Sanctuary,Kulen Promtep,Wildlife Sanctuary,N,1993,407070.485,"402,500","Siem Reap, Preah Vihear",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English, , ,Eminent Elite (Cambodia),2012,Y,Kulen Promtep Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,115177212.2,11517.72122,61474.01182,115177212.2,352041.066,4070704851
53,1,14,1,Preah Monivong National Park,National Park,Preah Monivong (Bokor),National Park and ASEAN Heritage Park,Y,1993,141800.4589,"140,000",Kampot,Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English,3/18/2000,Not found, ,2000,Y,Preah Monivong National Park,National Park, , ,1993,173255746.8,17325.57468,52349.85971,173255746.8,182206.7715,1418004589
54,1,14,17,Preah Monivong National Park,National Park,Preah Monivong (Bokor),National Park and ASEAN Heritage Park,Y,1993,141800.4589,"140,000",Kampot,Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English, , ,Camland II,2000,Y,Preah Monivong National Park,National Park, , ,1993,108205329.9,10820.53299,63800.34532,108205329.9,182206.7715,1418004589
55,1,14,18,Preah Monivong National Park,National Park,Preah Monivong (Bokor),National Park and ASEAN Heritage Park,Y,1993,141800.4589,"140,000",Kampot,Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English, , ,Camland I,2000,Y,Preah Monivong National Park,National Park, , ,1993,56430284.83,5643.028483,70436.2315,56430284.83,182206.7715,1418004589
56,1,14,19,Preah Monivong National Park,National Park,Preah Monivong (Bokor),National Park and ASEAN Heritage Park,Y,1993,141800.4589,"140,000",Kampot,Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English, , ,World Tristar,2005,Y,Preah Monivong National Park,National Park, , ,1993,128642488.1,12864.24881,45788.33817,128642488.1,182206.7715,1418004589
57,1,14,20,Preah Monivong National Park,National Park,Preah Monivong (Bokor),National Park and ASEAN Heritage Park,Y,1993,141800.4589,"140,000",Kampot,Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English, , ,First Biotech,2005,Y,Preah Monivong National Park,National Park, , ,1993,100170491.9,10017.04919,75216.23893,100170491.9,182206.7715,1418004589
58,1,14,62,Preah Monivong National Park,National Park,Preah Monivong (Bokor),National Park and ASEAN Heritage Park,Y,1993,141800.4589,"140,000",Kampot,Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English, , ,Virtus Green Plantation,2011,Y,Preah Monivong National Park,National Park, , ,1993,71878046.49,7187.804649,63819.0794,71878046.49,182206.7715,1418004589
59,1,14,71,Preah Monivong National Park,National Park,Preah Monivong (Bokor),National Park and ASEAN Heritage Park,Y,1993,141800.4589,"140,000",Kampot,Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English, , ,Bokor Sok Kong,2011,Y,Preah Monivong National Park,National Park, , ,1993,173376685.2,17337.66852,145718.9564,173376685.2,182206.7715,1418004589
60,0,15,-1,Phnom Kulen National Park,National Park,Phnom Kulen,National Park,N,1993,37375.07778,"37,500",Siem Reap,Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf; Ministry_of_Environment_Kulen__28.07.2014.pdf,22/5/2014,English,,,,,,,,,,,,,,,100682.9303,373750778.7
64,1,17,37,Beng Per Wildlife Sanctuary,Wildlife Sanctuary,Beng Per,Wildlife Sanctuary,N,1993,249223.7892,"242,500",Kampong Thom,Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English, , ,Bean Heak,2010,Y,Beng Per Wildlife Sanctuary,Wildlife Sanctuary,Wildlife Sanctuary,N,1993,43888800.87,4388.880087,28280.0003,43888800.87,316421.3918,2492237892
65,1,17,38,Beng Per Wildlife Sanctuary,Wildlife Sanctuary,Beng Per,Wildlife Sanctuary,N,1993,249223.7892,"242,500",Kampong Thom,Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English, , ,CRCK 2,2010,Y,Beng Per Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,75427428.95,7542.742895,35475.1688,75427428.95,316421.3918,2492237892
66,1,17,44,Beng Per Wildlife Sanctuary,Wildlife Sanctuary,Beng Per,Wildlife Sanctuary,N,1993,249223.7892,"242,500",Kampong Thom,Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English, , ,Caoutchouc Mekong,2010,Y,Beng Per Wildlife Sanctuary,Wildlife Sanctuary,Wildlife Sanctuary,N,1993,88924761.02,8892.476102,45589.97397,88924761.02,316421.3918,2492237892
